"Bidens cernua","nodding beggartick","DC(District of Columbia)"
"Bidens connata","purplestem beggarticks","DC(District of Columbia)"
"Bidens discoidea","small beggarticks","DC(District of Columbia)"
"Bidens frondosa","devil's beggartick","DC(District of Columbia)"
"Bidens laevis","smooth beggartick","DC(District of Columbia)"
"Bidens tripartita","threelobe beggarticks","DC(District of Columbia)"
"Bidens vulgata","big devils beggartick","DC(District of Columbia)"
"Bixa","bixa","DC(District of Columbia)"
"Bixa orellana","lipsticktree","DC(District of Columbia)"
"Boehmeria","false nettle","DC(District of Columbia)"
"Boehmeria cylindrica","smallspike false nettle","DC(District of Columbia)"
"Boehmeria nivea","Chinese grass","DC(District of Columbia)"
"Bolboschoenus","bulrush","DC(District of Columbia)"
"Bolboschoenus fluviatilis","river bulrush","DC(District of Columbia)"
"Borago","borage","DC(District of Columbia)"
"Borago officinalis","common borage","DC(District of Columbia)"
"Botrychium","grapefern","DC(District of Columbia)"
"Botrychium biternatum","sparselobe grapefern","DC(District of Columbia)"
"Botrychium dissectum","cutleaf grapefern","DC(District of Columbia)"
"Botrychium matricariifolium","matricary grapefern","DC(District of Columbia)"
"Botrychium virginianum","rattlesnake fern","DC(District of Columbia)"
"Bouteloua","grama","DC(District of Columbia)"
"Bouteloua curtipendula","sideoats grama","DC(District of Columbia)"
"Bouteloua curtipendula var. curtipendula","sideoats grama","DC(District of Columbia)"
"Brachyelytrum","shorthusk","DC(District of Columbia)"
"Brachyelytrum erectum","bearded shorthusk","DC(District of Columbia)"
"Brasenia","brasenia","DC(District of Columbia)"
"Brasenia schreberi","watershield","DC(District of Columbia)"
"Brassica","mustard","DC(District of Columbia)"
"Brassica juncea","brown mustard","DC(District of Columbia)"
"Brassica nigra","black mustard","DC(District of Columbia)"
"Brassica oleracea","cabbage","DC(District of Columbia)"
"Brassica rapa","field mustard","DC(District of Columbia)"
"Brassica rapa var. rapa","field mustard","DC(District of Columbia)"
"Brickellia","brickellbush","DC(District of Columbia)"
"Brickellia eupatorioides","false boneset","DC(District of Columbia)"
"Brickellia eupatorioides var. eupatorioides","false boneset","DC(District of Columbia)"
"Bromus","brome","DC(District of Columbia)"
"Bromus arvensis","field brome","DC(District of Columbia)"
"Bromus catharticus","rescuegrass","DC(District of Columbia)"
"Bromus diandrus","ripgut brome","DC(District of Columbia)"
"Bromus diandrus ssp. rigidus","ripgut brome","DC(District of Columbia)"
"Bromus erectus","erect brome","DC(District of Columbia)"
"Bromus inermis","smooth brome","DC(District of Columbia)"
"Bromus inermis ssp. inermis","smooth brome","DC(District of Columbia)"
"Bromus inermis ssp. inermis var. inermis","smooth brome","DC(District of Columbia)"
"Bromus kalmii","arctic brome","DC(District of Columbia)"
"Bromus lanceolatus","Mediterranean brome","DC(District of Columbia)"
"Bromus latiglumis","earlyleaf brome","DC(District of Columbia)"
"Bromus racemosus","bald brome","DC(District of Columbia)"
"Bromus ramosus","hairy brome","DC(District of Columbia)"
"Bromus sterilis","poverty brome","DC(District of Columbia)"
"Bromus tectorum","cheatgrass","DC(District of Columbia)"
"Broussonetia","broussonetia","DC(District of Columbia)"
"Broussonetia papyrifera","paper mulberry","DC(District of Columbia)"
"Buchnera","bluehearts","DC(District of Columbia)"
"Buchnera americana","American bluehearts","DC(District of Columbia)"
"Buglossoides","buglossoides","DC(District of Columbia)"
"Buglossoides arvensis","corn gromwell","DC(District of Columbia)"
"Bulbostylis","hairsedge","DC(District of Columbia)"
"Bulbostylis capillaris","densetuft hairsedge","DC(District of Columbia)"
"Bulbostylis capillaris ssp. capillaris","densetuft hairsedge","DC(District of Columbia)"
"Bupleurum","bupleurum","DC(District of Columbia)"
"Bupleurum rotundifolium","hare's ear","DC(District of Columbia)"
"Cabomba","fanwort","DC(District of Columbia)"
"Cabomba caroliniana","Carolina fanwort","DC(District of Columbia)"
"Cabomba caroliniana var. caroliniana","Carolina fanwort","DC(District of Columbia)"
"Calamagrostis","reedgrass","DC(District of Columbia)"
"Calamagrostis coarctata","Nuttall's reedgrass","DC(District of Columbia)"
"Calamintha","calamint","DC(District of Columbia)"
"Calamintha nepeta","lesser calamint","DC(District of Columbia)"
"Calamintha nepeta ssp. glandulosa","lesser calamint","DC(District of Columbia)"
"Calamintha nepeta ssp. nepeta","lesser calamint","DC(District of Columbia)"
"Callitriche","water-starwort","DC(District of Columbia)"
"Callitriche heterophylla","twoheaded water-starwort","DC(District of Columbia)"
"Callitriche heterophylla ssp. heterophylla","twoheaded water-starwort","DC(District of Columbia)"
"Callitriche terrestris","terrestrial water-starwort","DC(District of Columbia)"
"Calopogon","grasspink","DC(District of Columbia)"
"Calopogon tuberosus","tuberous grasspink","DC(District of Columbia)"
"Calopogon tuberosus var. tuberosus","tuberous grasspink","DC(District of Columbia)"
"Calycanthus","sweetshrub","DC(District of Columbia)"
"Calycanthus floridus","eastern sweetshrub","DC(District of Columbia)"
"Calycanthus floridus var. glaucus","eastern sweetshrub","DC(District of Columbia)"
"Calystegia","false bindweed","DC(District of Columbia)"
"Calystegia sepium","hedge false bindweed","DC(District of Columbia)"
"Calystegia sepium ssp. americana","hedge false bindweed","DC(District of Columbia)"
"Calystegia sepium ssp. angulata","hedge false bindweed","DC(District of Columbia)"
"Calystegia sepium ssp. sepium","hedge false bindweed","DC(District of Columbia)"
"Calystegia silvatica","shortstalk false bindweed","DC(District of Columbia)"
"Calystegia silvatica ssp. fraterniflora","shortstalk false bindweed","DC(District of Columbia)"
"Calystegia spithamaea","low false bindweed","DC(District of Columbia)"
"Calystegia spithamaea ssp. spithamaea","low false bindweed","DC(District of Columbia)"
"Camassia","camas","DC(District of Columbia)"
"Camassia scilloides","Atlantic camas","DC(District of Columbia)"
"Camelina","false flax","DC(District of Columbia)"
"Camelina microcarpa","littlepod false flax","DC(District of Columbia)"
"Campanula","bellflower","DC(District of Columbia)"
"Campanula aparinoides","marsh bellflower","DC(District of Columbia)"
"Campanula rapunculoides","rampion bellflower","DC(District of Columbia)"
"Campsis","campsis","DC(District of Columbia)"
"Campsis radicans","trumpet creeper","DC(District of Columbia)"
"Canavalia","jackbean","DC(District of Columbia)"
"Canavalia ensiformis","jack bean","DC(District of Columbia)"
"Cannabis","hemp","DC(District of Columbia)"
"Cannabis sativa","marijuana","DC(District of Columbia)"
"Cannabis sativa ssp. sativa","marijuana","DC(District of Columbia)"
"Cannabis sativa ssp. sativa var. sativa","marijuana","DC(District of Columbia)"
"Capsella","capsella","DC(District of Columbia)"
"Capsella bursa-pastoris","shepherd's purse","DC(District of Columbia)"
"Cardamine","bittercress","DC(District of Columbia)"
"Cardamine angustata","slender toothwort","DC(District of Columbia)"
"Cardamine bulbosa","bulbous bittercress","DC(District of Columbia)"
"Cardamine concatenata","cutleaf toothwort","DC(District of Columbia)"
"Cardamine douglassii","limestone bittercress","DC(District of Columbia)"
"Cardamine hirsuta","hairy bittercress","DC(District of Columbia)"
"Cardamine parviflora","sand bittercress","DC(District of Columbia)"
"Cardamine parviflora var. arenicola","sand bittercress","DC(District of Columbia)"
"Cardamine pensylvanica","Pennsylvania bittercress","DC(District of Columbia)"
"Cardaria","whitetop","DC(District of Columbia)"
"Cardaria draba","whitetop","DC(District of Columbia)"
"Cardiospermum","balloonvine","DC(District of Columbia)"
"Cardiospermum halicacabum","balloon vine","DC(District of Columbia)"
"Cardiospermum microcarpum","heartseed","DC(District of Columbia)"
"Carduus","plumeless thistle","DC(District of Columbia)"
"Carduus nutans","nodding plumeless thistle","DC(District of Columbia)"
"Carex","sedge","DC(District of Columbia)"
"Carex abscondita","thicket sedge","DC(District of Columbia)"
"Carex aggregata","glomerate sedge","DC(District of Columbia)"
"Carex alata","broadwing sedge","DC(District of Columbia)"
"Carex albicans","whitetinge sedge","DC(District of Columbia)"
"Carex albicans var. albicans","whitetinge sedge","DC(District of Columbia)"
"Carex albicans var. emmonsii","Emmons' sedge","DC(District of Columbia)"
"Carex albolutescens","greenwhite sedge","DC(District of Columbia)"
"Carex albursina","white bear sedge","DC(District of Columbia)"
"Carex alopecoidea","foxtail sedge","DC(District of Columbia)"
"Carex amphibola","eastern narrowleaf sedge","DC(District of Columbia)"
"Carex annectens","yellowfruit sedge","DC(District of Columbia)"
"Carex aquatilis","water sedge","DC(District of Columbia)"
"Carex aquatilis var. aquatilis","water sedge","DC(District of Columbia)"
"Carex atlantica","prickly bog sedge","DC(District of Columbia)"
"Carex atlantica ssp. atlantica","prickly bog sedge","DC(District of Columbia)"
"Carex atlantica ssp. capillacea","prickly bog sedge","DC(District of Columbia)"
