"","",""
"Abies","fir","GA(Fannin)"
"Eurybia avita","Alexander's rock aster","GA(DeKalb, Gwinnett, Lamar, Meriwether, Pike, Rockdale, Walton)"
"Eurybia compacta","slender aster","GA(Burke)"
"Eurybia divaricata","white wood aster","GA(Bartow, Cherokee, Cobb, Dawson, Fannin, Floyd, Fulton, Gilmer, Gordon, Habersham, Hart, Lincoln, Lumpkin, Murray, Rabun, Towns, Union, Walker, White, Whitfield)"
"Eurybia eryngiifolia","thistleleaf aster","GA(Decatur)"
"Eurybia jonesiae","Jones' aster","GA(Cherokee, Harris, Lincoln, Madison, Morgan, Rockdale, Upson)"
"Eurybia macrophylla","bigleaf aster","GA(Rabun, Union)"
"Eurybia paludosa","southern swamp aster","GA(Bulloch, Catoosa, Charlton, Murray, Walker, Ware, Wayne)"
"Eurybia surculosa","creeping aster","GA(Bartow, Chatham, Cherokee, Cobb, Dawson, Gilmer, Paulding, Pickens, Rabun, Spalding, Stephens, Walker)"
"Eustachys","fingergrass","GA(Baker, Berrien, Bryan, Camden, Charlton, Chatham, Decatur, Echols, Glynn, Lanier, Lowndes, McIntosh)"
"Eustachys floridana","twospike fingergrass","GA(Baker, Berrien)"
"Eustachys glauca","saltmarsh fingergrass","GA(Baker, Camden, Echols)"
"Eustachys petraea","pinewoods fingergrass","GA(Baker, Camden, Charlton, Chatham, Decatur, Echols, Glynn, Lanier, Lowndes, McIntosh)"
"Eustachys retusa","Argentine fingergrass","GA(Bryan)"
"Euthamia","goldentop","GA(Berrien, Brooks, Charlton, Chatham, Coffee, Dougherty, Echols, Emanuel, Fulton, Glynn, Heard, Irwin, Lanier, Laurens, Lee, Liberty, Long, Lowndes, McIntosh, Screven, Tift, Toombs, Upson, Washington, Wilcox)"
"Euthamia caroliniana","slender goldentop","GA(Berrien, Brooks, Charlton, Chatham, Coffee, Dougherty, Echols, Emanuel, Fulton, Glynn, Irwin, Lanier, Laurens, Lee, Liberty, Long, Lowndes, McIntosh, Screven, Tift, Toombs, Upson, Washington, Wilcox)"
"Euthamia leptocephala","bushy goldentop","GA(Heard)"
"Eutrochium","joe pye weed","GA(Bartow, Burke, Chatham, Chattooga, Clarke, Elbert, Fannin, Floyd, Forsyth, Gilmer, Habersham, Hall, Harris, Lumpkin, McDuffie, Miller, Morgan, Murray, Muscogee, Oglethorpe, Rabun, Spalding, Towns, Union, Walker, White, Whitfield)"
"Eutrochium fistulosum","trumpetweed","GA(Bartow, Chatham, Chattooga, Clarke, Elbert, Floyd, Forsyth, Gilmer, Habersham, Hall, Harris, Lumpkin, McDuffie, Morgan, Murray, Muscogee, Rabun, Spalding, Walker, White)"
"Eutrochium purpureum","sweetscented joe pye weed","GA(Burke, Chattooga, Fannin, Gilmer, Habersham, Hall, Lumpkin, Miller, Morgan, Oglethorpe, Rabun, Spalding, Towns, Union, Walker, Whitfield)"
"Eutrochium purpureum var. purpureum","sweetscented joe pye weed","GA(Burke, Chattooga, Fannin, Gilmer, Habersham, Hall, Lumpkin, Miller, Morgan, Oglethorpe, Rabun, Spalding, Towns, Union, Walker, Whitfield)"
"Evax","pygmy cudweed","GA(DeKalb, Morgan, Spalding)"
"Evax verna","spring pygmycudweed","GA(DeKalb, Morgan, Spalding)"
"Evax verna var. verna","spring pygmycudweed","GA(DeKalb, Morgan, Spalding)"
"Exochorda","pearlbrush","GA(Macon)"
"Exochorda racemosa","common pearlbrush","GA(Macon)"
"Facelis","trampweed","GA(Atkinson, Bleckley, Candler, Clarke, Columbia, Decatur, Dougherty, Echols, Elbert, Emanuel, Grady, Hancock, McDuffie, Oglethorpe, Seminole, Turner, Warren)"
"Facelis retusa","annual trampweed","GA(Atkinson, Bleckley, Candler, Clarke, Columbia, Decatur, Dougherty, Echols, Elbert, Emanuel, Grady, Hancock, McDuffie, Oglethorpe, Seminole, Turner, Warren)"
"Fagopyrum","buckwheat","GA(Clarke, Morgan, Stephens)"
"Fagopyrum esculentum","buckwheat","GA(Clarke, Morgan, Stephens)"
"Fagus","beech","GA(Brooks, Bulloch, Burke, Camden, Carroll, Cherokee, Clarke, Clay, Columbia, Dade, DeKalb, Decatur, Dougherty, Elbert, Floyd, Forsyth, Fulton, Gordon, Grady, Greene, Harris, Hart, Henry, Jackson, Jefferson, Lowndes, Macon, Madison, Mitchell, Morgan, Murray, Newton, Oconee, Oglethorpe, Pulaski, Rabun, Screven, Spalding, Stephens, Sumter, Talbot, Thomas, Towns, Wayne, Wilkes)"
"Fagus grandifolia","American beech","GA(Brooks, Bulloch, Burke, Camden, Carroll, Cherokee, Clarke, Clay, Columbia, Dade, DeKalb, Decatur, Dougherty, Elbert, Floyd, Forsyth, Fulton, Gordon, Grady, Greene, Harris, Hart, Henry, Jackson, Jefferson, Lowndes, Macon, Madison, Mitchell, Morgan, Murray, Newton, Oconee, Oglethorpe, Pulaski, Rabun, Screven, Spalding, Stephens, Sumter, Talbot, Thomas, Towns, Wayne, Wilkes)"
"Fatoua","fatoua","GA(Columbia, Glynn, Gwinnett, Lowndes)"
"Fatoua villosa","hairy crabweed","GA(Columbia, Glynn, Gwinnett, Lowndes)"
"Festuca","fescue","GA(Baker, Bartow, Cherokee, Clarke, Clay, Dade, DeKalb, Elbert, Floyd, Fulton, Hall, Hancock, Harris, Jackson, Oglethorpe, Spalding, Walker, White)"
"Festuca paradoxa","clustered fescue","GA(Bartow, Cherokee, DeKalb, Fulton, Hancock, Harris, Jackson)"
"Festuca rubra","red fescue","GA(Baker, Clarke, Elbert, Floyd, Spalding)"
"Festuca rubra ssp. rubra","red fescue","GA(Baker, Clarke, Elbert, Floyd, Spalding)"
"Festuca subverticillata","nodding fescue","GA(Bartow, Clay, Dade, Elbert, Floyd, Fulton, Hall, Oglethorpe, Walker, White)"
"Fimbristylis","fimbry","GA(Baker, Barrow, Ben Hill, Berrien, Brooks, Bulloch, Burke, Calhoun, Camden, Candler, Carroll, Chatham, Clarke, Clay, Columbia, Cook, DeKalb, Decatur, Dodge, Dougherty, Douglas, Evans, Fulton, Glynn, Grady, Greene, Harris, Heard, Jackson, Lanier, Lee, Liberty, Long, Lowndes, McIntosh, Meriwether, Miller, Morgan, Muscogee, Newton, Oconee, Oglethorpe, Pike, Rabun, Rockdale, Seminole, Stephens, Sumter, Thomas, Tift, Turner, Upson, Walton, Ware, Washington, Wayne)"
"Fimbristylis annua","annual fimbry","GA(Barrow, Carroll, Chatham, Clarke, Columbia, DeKalb, Dougherty, Douglas, Fulton, Greene, Heard, Jackson, Meriwether, Miller, Muscogee, Oglethorpe, Pike, Rockdale, Walton)"
"Fimbristylis autumnalis","slender fimbry","GA(Baker, Ben Hill, Brooks, Burke, Camden, Candler, Chatham, Clarke, Clay, Cook, Decatur, Dougherty, Evans, Grady, Harris, Jackson, Lanier, Lee, Liberty, Long, Lowndes, McIntosh, Miller, Morgan, Oconee, Oglethorpe, Rabun, Rockdale, Seminole, Stephens, Sumter, Upson)"
"Fimbristylis caroliniana","Carolina fimbry","GA(Glynn, Liberty, McIntosh, Seminole, Tift, Turner)"
"Fimbristylis castanea","marsh fimbry","GA(Chatham, Glynn, Liberty, McIntosh)"
"Fimbristylis dichotoma","forked fimbry","GA(Berrien, Chatham, Clarke, Decatur, Newton, Oglethorpe)"
"Fimbristylis littoralis","fimbry","GA(Cook, Decatur, Grady, McIntosh, Miller, Morgan, Oglethorpe, Seminole, Thomas)"
"Fimbristylis perpusilla","Harper's fimbry","GA(Baker, Seminole, Sumter)"
"Fimbristylis puberula","hairy fimbry","GA(Baker, Berrien, Brooks, Bulloch, Calhoun, Chatham, Dodge, Dougherty, Lanier, Lowndes, Miller, Ware, Washington, Wayne)"
"Fimbristylis puberula var. puberula","hairy fimbry","GA(Baker, Berrien, Brooks, Bulloch, Calhoun, Chatham, Dodge, Dougherty, Lanier, Lowndes, Miller, Ware, Washington, Wayne)"
"Fimbristylis schoenoides","ditch fimbry","GA(Miller)"
"Fimbristylis vahlii","Vahl's fimbry","GA(Columbia, Long, Seminole)"
"Firmiana","parasoltree","GA(Berrien, Chatham, Clarke, Cook, Richmond, Spalding, Sumter)"
"Firmiana simplex","Chinese parasoltree","GA(Berrien, Chatham, Clarke, Cook, Richmond, Spalding, Sumter)"
"Fleischmannia","thoroughwort","GA(Elbert, Muscogee, Walker)"
"Fleischmannia incarnata","pink thoroughwort","GA(Elbert, Muscogee, Walker)"
"Foeniculum","fennel","GA(Chatham, Clarke, Lowndes, McIntosh)"
"Foeniculum vulgare","sweet fennel","GA(Chatham, Clarke, Lowndes, McIntosh)"
"Forestiera","swampprivet","GA(Baker, Bibb, Butts, Camden, Chatham, Columbia, DeKalb, Decatur, Early, Glynn, Gwinnett, Harris, Henry, Jefferson, Jones, Liberty, McIntosh, Meriwether, Monroe, Newton, Oglethorpe, Pike, Putnam, Telfair, Wayne)"
"Forestiera acuminata","eastern swampprivet","GA(Decatur, Telfair, Wayne)"
"Forestiera ligustrina","upland swampprivet","GA(Baker, Bibb, Butts, Columbia, DeKalb, Early, Gwinnett, Harris, Henry, Jefferson, Jones, Meriwether, Monroe, Newton, Oglethorpe, Pike, Putnam)"
"Forestiera segregata","Florida swampprivet","GA(Camden, Chatham, Glynn, Liberty, McIntosh)"
"Forestiera segregata var. segregata","Florida swampprivet","GA(Camden, Chatham, Glynn, Liberty, McIntosh)"
"Fothergilla","witchalder","GA(Bartow, Brantley, Cobb, Long, Macon, Pierce, Richmond, Taylor, Walker, Wayne)"
"Fothergilla gardenii","dwarf witchalder","GA(Brantley, Long, Macon, Pierce, Richmond, Taylor, Wayne)"
"Fothergilla major","mountain witchalder","GA(Bartow, Cobb, Walker)"
"Fragaria","strawberry","GA(Clarke, Clay, Coweta, Dawson, Elbert, Floyd, Forsyth, Fulton, Gilmer, Harris, Jackson, Jasper, Madison, Morgan, Murray, Pickens, Putnam, Rabun, Taylor, Twiggs, Walton, White, Worth)"
"Fragaria virginiana","Virginia strawberry","GA(Clarke, Clay, Coweta, Dawson, Elbert, Floyd, Forsyth, Fulton, Gilmer, Harris, Jackson, Jasper, Madison, Morgan, Murray, Pickens, Putnam, Rabun, Taylor, Twiggs, Walton, White, Worth)"
"Fragaria virginiana ssp. virginiana","Virginia strawberry","GA(Clarke, Clay, Coweta, Dawson, Elbert, Floyd, Forsyth, Fulton, Gilmer, Harris, Jackson, Jasper, Madison, Morgan, Murray, Pickens, Putnam, Rabun, Taylor, Twiggs, Walton, White, Worth)"
"Frangula","buckthorn","GA(Bartow, Catoosa, Clarke, Clay, Columbia, Dade, Elbert, Gwinnett, Hancock, Harris, Houston, Jackson, Jasper, Lincoln, Madison, McDuffie, McIntosh, Morgan, Murray, Oglethorpe, Stephens, Taliaferro, Walker, Walton, Wilkes, Wilkinson)"
"Frangula caroliniana","Carolina buckthorn","GA(Bartow, Catoosa, Clarke, Clay, Columbia, Dade, Elbert, Gwinnett, Hancock, Harris, Houston, Jackson, Jasper, Lincoln, Madison, McDuffie, McIntosh, Morgan, Murray, Oglethorpe, Stephens, Taliaferro, Walker, Walton, Wilkes, Wilkinson)"
"Frasera","green gentian","GA(Cherokee, Dade, Dawson, Elbert, Habersham, Lumpkin, Murray, Rabun, Towns, Union, Walker, White)"
"Frasera caroliniensis","American columbo","GA(Cherokee, Dade, Dawson, Elbert, Habersham, Lumpkin, Murray, Rabun, Towns, Union, Walker, White)"
"Fraxinus","ash","GA(Bacon, Baker, Banks, Bartow, Ben Hill, Berrien, Bibb, Brantley, Brooks, Bryan, Bulloch, Burke, Calhoun, Camden, Carroll, Catoosa, Charlton, Chatham, Clarke, Colquitt, Crawford, Crisp, Dade, DeKalb, Dodge, Dougherty, Echols, Elbert, Fannin, Floyd, Franklin, Fulton, Glascock, Grady, Greene, Gwinnett, Habersham, Hall, Hart, Henry, Irwin, Jackson, Lee, Liberty, Lincoln, Lowndes, Madison, McDuffie, McIntosh, Meriwether, Miller, Morgan, Murray, Oglethorpe, Putnam, Rabun, Screven, Seminole, Stephens, Sumter, Taliaferro, Tattnall, Thomas, Tift, Towns, Union, Upson, Walker, Walton, Washington, Wayne, White, Wilkes, Wilkinson, Worth)"
"Fraxinus americana","white ash","GA(Baker, Ben Hill, Camden, Carroll, Clarke, Dade, DeKalb, Dougherty, Elbert, Fannin, Floyd, Fulton, Lincoln, Madison, Morgan, Murray, Oglethorpe, Rabun, Stephens, Towns, Union, Upson, Walker, White)"
"Fraxinus caroliniana","Carolina ash","GA(Bacon, Baker, Berrien, Brantley, Brooks, Bulloch, Burke, Camden, Charlton, Chatham, Colquitt, Crisp, Dodge, Echols, Glascock, Grady, Irwin, Lee, Liberty, Lowndes, McDuffie, McIntosh, Miller, Screven, Sumter, Tattnall, Thomas, Tift, Washington, Wayne, Wilkinson, Worth)"
"Fraxinus pennsylvanica","green ash","GA(Banks, Bartow, Bibb, Bulloch, Calhoun, Carroll, Catoosa, Chatham, Clarke, Crawford, Dade, Dougherty, Echols, Elbert, Floyd, Franklin, Glascock, Greene, Gwinnett, Habersham, Hall, Hart, Henry, Jackson, Madison, Meriwether, Miller, Morgan, Murray, Oglethorpe, Putnam, Seminole, Sumter, Taliaferro, Tattnall, Towns, Walton, Wilkes)"
"Fraxinus profunda","pumpkin ash","GA(Bryan, Chatham, Oglethorpe)"
"Fraxinus quadrangulata","blue ash","GA(Floyd, Walker)"
"Froelichia","snakecotton","GA(Baker, Ben Hill, Brantley, Brooks, Charlton, Chatham, Clarke, Decatur, Dodge, Echols, Glynn, Irwin, Johnson, Liberty, Long, Lowndes, McIntosh, Muscogee, Talbot, Tattnall, Taylor, Wayne, Worth)"
"Froelichia floridana","plains snakecotton","GA(Baker, Ben Hill, Brantley, Brooks, Charlton, Chatham, Decatur, Dodge, Echols, Glynn, Irwin, Johnson, Liberty, Lowndes, McIntosh, Muscogee, Talbot, Tattnall, Taylor, Wayne, Worth)"
"Froelichia floridana var. floridana","plains snakecotton","GA(Baker, Ben Hill, Brantley, Brooks, Charlton, Chatham, Decatur, Dodge, Echols, Glynn, Irwin, Johnson, Liberty, Lowndes, McIntosh, Muscogee, Talbot, Tattnall, Taylor, Wayne, Worth)"
"Froelichia gracilis","slender snakecotton","GA(Clarke, Long)"
"Fuirena","umbrella-sedge","GA(Bartow, Berrien, Brooks, Bulloch, Burke, Calhoun, Camden, Candler, Charlton, Chatham, Coffee, Colquitt, Cook, Dooly, Early, Echols, Elbert, Emanuel, Glynn, Grady, Gwinnett, Hancock, Harris, Jenkins, Lamar, Laurens, Liberty, Lowndes, McIntosh, Morgan, Oglethorpe, Randolph, Rockdale, Spalding, Tattnall, Tift, Toombs, Walton, Ware, Wilcox, Worth)"
"Fuirena breviseta","saltmarsh umbrella-sedge","GA(Bulloch, Burke, Calhoun, Camden, Charlton, Chatham, Dooly, Early, Jenkins, McIntosh, Toombs, Wilcox)"
"Fuirena pumila","dwarf umbrella-sedge","GA(Glynn, Morgan, Tattnall)"
"Fuirena scirpoidea","southern umbrella-sedge","GA(Camden, Charlton, Lowndes, Ware)"
"Fuirena squarrosa","hairy umbrella-sedge","GA(Bartow, Berrien, Brooks, Candler, Charlton, Coffee, Colquitt, Cook, Echols, Elbert, Emanuel, Grady, Gwinnett, Hancock, Harris, Lamar, Laurens, Liberty, Oglethorpe, Randolph, Rockdale, Spalding, Tift, Walton, Ware, Worth)"
"Fumaria","fumitory","GA(Chatham, Lowndes, Seminole, Thomas, Tift)"
"Fumaria officinalis","drug fumitory","GA(Chatham, Lowndes, Seminole, Thomas, Tift)"
"Fumaria officinalis ssp. officinalis","drug fumitory","GA(Chatham, Lowndes, Seminole, Thomas, Tift)"
"Fumaria parviflora","fineleaf fumitory","GA(Lowndes)"
"Gaillardia","blanketflower","GA(Baker, Ben Hill, Brooks, Catoosa, Chatham, Colquitt, Cook, Dougherty, Echols, Glynn, Grady, Irwin, Laurens, McIntosh, Muscogee, Talbot, Taylor, Thomas, Toombs)"
"Gaillardia aestivalis","lanceleaf blanketflower","GA(Baker, Ben Hill, Brooks, Catoosa, Echols, Irwin, Laurens, McIntosh, Muscogee, Talbot, Taylor, Thomas, Toombs)"
"Gaillardia aestivalis var. aestivalis","lanceleaf blanketflower","GA(Baker, Ben Hill, Brooks, Catoosa, Echols, Irwin, Laurens, McIntosh, Muscogee, Talbot, Taylor, Thomas, Toombs)"
"Gaillardia pulchella","Indian blanket","GA(Chatham, Colquitt, Cook, Dougherty, Glynn, Grady, Laurens, McIntosh, Thomas)"
"Galactia","milkpea","GA(Appling, Baker, Bartow, Ben Hill, Berrien, Bleckley, Brantley, Camden, Candler, Charlton, Chatham, Clarke, Cobb, Coffee, Colquitt, Coweta, Crawford, Dawson, DeKalb, Decatur, Dodge, Early, Echols, Effingham, Elbert, Emanuel, Floyd, Forsyth, Fulton, Glynn, Grady, Hall, Harris, Irwin, Jackson, Johnson, Jones, Lanier, Liberty, Lincoln, Long, Madison, McIntosh, Murray, Oconee, Pike, Pulaski, Screven, Stephens, Talbot, Taliaferro, Tattnall, Taylor, Thomas, Toombs, Wayne, Wheeler, Wilkinson, Worth)"
"Galactia elliottii","Elliott's milkpea","GA(Camden, Charlton, Chatham, Colquitt, Glynn, Liberty, Long, McIntosh, Wayne)"
"Galactia erecta","erect milkpea","GA(Bleckley, Chatham, Coffee, Colquitt, Decatur, Dodge, Toombs)"
"Galactia floridana","Florida milkpea","GA(Brantley, Charlton)"
"Galactia microphylla","littleleaf milkpea","GA(Appling, Baker, Ben Hill, Candler, Coffee, Crawford, Grady, Irwin, Johnson, Long, Pulaski, Screven, Talbot, Tattnall, Taylor, Wayne, Wheeler)"
"Galactia mollis","soft milkpea","GA(Charlton, Colquitt, Decatur, Dodge, Echols, Effingham, Lanier, Screven, Wayne, Worth)"
"Galactia regularis","eastern milkpea","GA(Appling, Bartow, Berrien, Chatham, Clarke, Cobb, Coweta, Dawson, DeKalb, Early, Elbert, Emanuel, Floyd, Forsyth, Fulton, Glynn, Hall, Harris, Jackson, Jones, Lincoln, Madison, McIntosh, Oconee, Pike, Pulaski, Stephens, Taliaferro, Thomas, Wilkinson, Worth)"
"Galactia volubilis","downy milkpea","GA(Baker, Ben Hill, Camden, Charlton, Chatham, Glynn, Liberty, Long, McIntosh, Murray, Pulaski)"
"Galax","galax","GA(Banks, Bartow, Carroll, Catoosa, Chattooga, Cherokee, Clarke, Cobb, Dade, Dawson, Elbert, Floyd, Forsyth, Gilmer, Gordon, Habersham, Hall, Haralson, Jackson, Meriwether, Murray, Newton, Oglethorpe, Pickens, Rabun, Stephens, Taylor, Towns, Union, Walker, White)"
"Galax urceolata","beetleweed","GA(Banks, Bartow, Carroll, Catoosa, Chattooga, Cherokee, Clarke, Cobb, Dade, Dawson, Elbert, Floyd, Forsyth, Gilmer, Gordon, Habersham, Hall, Haralson, Jackson, Meriwether, Murray, Newton, Oglethorpe, Pickens, Rabun, Stephens, Taylor, Towns, Union, Walker, White)"
"Galearis","galearis","GA(Gilmer, Habersham, Murray, Rabun, Stephens, Union, White)"
"Galearis spectabilis","showy orchid","GA(Gilmer, Habersham, Murray, Rabun, Stephens, Union, White)"
"Galinsoga","gallant soldier","GA(Clarke, Fulton, Harris, Morgan, Rabun, Spalding, Union)"
"Galinsoga quadriradiata","shaggy soldier","GA(Clarke, Fulton, Harris, Morgan, Rabun, Spalding, Union)"
"Galium","bedstraw","GA(Baker, Banks, Bartow, Bibb, Brooks, Bulloch, Burke, Calhoun, Camden, Carroll, Catoosa, Chatham, Chattooga, Cherokee, Clarke, Clay, Colquitt, Columbia, Cook, Dade, Dawson, DeKalb, Decatur, Dodge, Early, Elbert, Fannin, Floyd, Forsyth, Franklin, Fulton, Gilmer, Glynn, Gordon, Grady, Greene, Hall, Harris, Jackson, Jones, Lanier, Liberty, Lincoln, Lowndes, Lumpkin, Madison, McIntosh, Morgan, Murray, Oconee, Oglethorpe, Pike, Rabun, Seminole, Spalding, Stephens, Taliaferro, Thomas, Tift, Towns, Union, Upson, Walker, Washington, White, Whitfield, Wilcox, Wilkes)"
"Galium aparine","stickywilly","GA(Bartow, Bibb, Brooks, Carroll, Chatham, Clarke, Clay, Elbert, Floyd, Fulton, Grady, Harris, Jackson, Lowndes, McIntosh, Murray, Seminole, Spalding, Walker, Washington, Whitfield, Wilkes)"
"Galium circaezans","licorice bedstraw","GA(Baker, Bartow, Catoosa, Clarke, Clay, Dade, DeKalb, Elbert, Greene, Hall, Harris, Madison, Morgan, Towns, Walker)"
"Galium hispidulum","coastal bedstraw","GA(Baker, Burke, Camden, Decatur, Glynn, Grady, McIntosh, Thomas)"
"Galium latifolium","purple bedstraw","GA(Fannin, Lumpkin, Murray, Rabun, Union, Walker, White)"
"Galium obtusum","bluntleaf bedstraw","GA(Bartow, Catoosa, Dodge, Elbert, Floyd, Greene, Madison, Morgan, Wilcox)"
"Galium pilosum","hairy bedstraw","GA(Baker, Bartow, Bulloch, Calhoun, Chatham, Chattooga, Clarke, Colquitt, Columbia, Cook, DeKalb, Dodge, Early, Elbert, Floyd, Forsyth, Franklin, Gordon, Hall, Harris, Jackson, Jones, Lincoln, Lowndes, Madison, McIntosh, Morgan, Murray, Oconee, Pike, Rabun, Spalding, Stephens, Taliaferro, Upson, Walker)"
"Galium tinctorium","stiff marsh bedstraw","GA(Bartow, Chattooga, Cherokee, Clarke, Columbia, DeKalb, Elbert, Glynn, Gordon, Hall, Harris, Lanier, Liberty, Lowndes, McIntosh, Morgan, Oglethorpe, Rabun, Tift, Wilkes)"
"Galium tricornutum","roughfruit corn bedstraw","GA(Oglethorpe)"
"Galium triflorum","fragrant bedstraw","GA(Banks, Cherokee, Clarke, Dawson, Elbert, Floyd, Forsyth, Gilmer, Hall, Lincoln, Rabun, Stephens, Towns, Union, White, Whitfield)"
"Galium uniflorum","oneflower bedstraw","GA(Brooks, Clarke)"
"Gamochaeta","everlasting","GA(Appling, Bacon, Baldwin, Bartow, Bulloch, Charlton, Chatham, Chattahoochee, Clarke, Clinch, Coffee, Columbia, Cook, Coweta, Dade, DeKalb, Decatur, Dodge, Echols, Elbert, Fayette, Fulton, Glynn, Grady, Greene, Gwinnett, Hall, Hancock, Harris, Irwin, Jones, Lee, Liberty, Long, Lowndes, Madison, McIntosh, Meriwether, Montgomery, Morgan, Murray, Newton, Oconee, Putnam, Screven, Spalding, Sumter, Talbot, Tattnall, Thomas, Tift, Toombs, Turner, Twiggs, Upson, Walker, Ware, Warren, Wayne, Wilkes, Worth)"
"Gamochaeta argyrinea","silvery everlasting","GA(Appling, Bacon, Baldwin, Bulloch, Clarke, Coffee, Columbia, Cook, Coweta, DeKalb, Echols, Elbert, Fayette, Fulton, Gwinnett, Hancock, Harris, Lee, Lowndes, Meriwether, Sumter, Talbot, Tattnall, Turner, Worth)"
"Gamochaeta chionesthes","snow-white everlasting","GA(Appling, Bacon, Bulloch, Coffee, Cook, Fayette, Fulton, Grady, Greene, Lee, Meriwether, Montgomery, Morgan, Newton, Screven, Sumter, Talbot, Tattnall, Turner, Warren)"
"Gamochaeta coarctata","gray everlasting","GA(Appling, Baldwin, Bulloch, Chatham, Chattahoochee, Coffee, Coweta, Fayette, Fulton, Lee, Meriwether, Morgan, Sumter, Talbot, Tattnall, Thomas, Twiggs, Upson, Ware)"
"Gamochaeta purpurea","spoonleaf purple everlasting","GA(Bartow, Bulloch, Charlton, Chatham, Clarke, Clinch, Coffee, Cook, Dade, DeKalb, Decatur, Dodge, Echols, Elbert, Glynn, Grady, Hall, Harris, Irwin, Jones, Liberty, Long, Madison, McIntosh, Morgan, Murray, Oconee, Putnam, Screven, Spalding, Thomas, Tift, Toombs, Walker, Wilkes, Worth)"
"Gamochaeta simplicicaulis","simple-stem everlasting","GA(Bulloch, Wayne)"
"Gaultheria","snowberry","GA(Rabun, Towns)"
"Gaultheria procumbens","eastern teaberry","GA(Rabun, Towns)"
"Gaylussacia","huckleberry","GA(Appling, Atkinson, Bacon, Bartow, Ben Hill, Berrien, Brantley, Brooks, Bulloch, Camden, Candler, Charlton, Chatham, Clinch, Coffee, Colquitt, Cook, Crawford, Decatur, Dodge, Dougherty, Early, Echols, Effingham, Emanuel, Fannin, Glascock, Glynn, Grady, Habersham, Irwin, Jeff Davis, Jenkins, Lanier, Laurens, Liberty, Long, Lowndes, Lumpkin, Macon, McIntosh, Meriwether, Miller, Mitchell, Montgomery, Pickens, Pierce, Pulaski, Rabun, Screven, Seminole, Stephens, Tattnall, Taylor, Telfair, Thomas, Tift, Toombs, Towns, Turner, Union, Ware, Washington, Wayne, White)"
